Unit,Begin Date,Emergency Min (MW),Economic Min (MW),Regulation Min (MW),Regulation Max (MW),Economic Max (MW),Emergency Max (MW)
HOT_SPR1 1x1,2023-01-12  9:00,125,125,125,245.0,245.0,245.0
HOT_SPR1 1x1,2023-01-12  10:00,125,125,125,245.0,245.0,245.0
HOT_SPR1 1x1,2023-01-12  11:00,125,125,125,245.0,245.0,245.0
HOT_SPR1 1x1,2023-01-12  12:00,125,125,125,245.0,245.0,245.0
HOT_SPR1 1x1,2023-01-12  13:00,125,125,125,245.0,245.0,245.0
HOT_SPR1 1x1,2023-01-12  14:00,125,125,125,245.0,245.0,245.0
HOT_SPR1 1x1,2023-01-12  15:00,125,125,125,245.0,245.0,245.0
HOT_SPR1 1x1,2023-01-12  16:00,125,125,125,245.0,245.0,245.0
HOT_SPR1 1x1,2023-01-12  17:00,125,125,125,246.0,246.0,246.0
HOT_SPR1 1x1,2023-01-12  18:00,125,125,125,247.0,247.0,247.0
HOT_SPR1 1x1,2023-01-12  19:00,125,125,125,247.0,247.0,247.0
HOT_SPR1 1x1,2023-01-12  20:00,125,125,125,246.0,246.0,246.0
HOT_SPR1 1x1,2023-01-12  21:00,125,125,125,246.0,246.0,246.0
HOT_SPR1 1x1,2023-01-12  22:00,125,125,125,246.0,246.0,246.0
HOT_SPR1 1x1,2023-01-12  23:00,125,125,125,246.0,246.0,246.0
HOT_SPR1 1x1 DF,2023-01-12  9:00,125,125,125,245.0,303.0,303.0
HOT_SPR1 1x1 DF,2023-01-12  10:00,125,125,125,245.0,304.0,304.0
HOT_SPR1 1x1 DF,2023-01-12  11:00,125,125,125,245.0,304.0,304.0
HOT_SPR1 1x1 DF,2023-01-12  12:00,125,125,125,245.0,305.0,305.0
HOT_SPR1 1x1 DF,2023-01-12  13:00,125,125,125,245.0,305.0,305.0
HOT_SPR1 1x1 DF,2023-01-12  14:00,125,125,125,245.0,305.0,305.0
HOT_SPR1 1x1 DF,2023-01-12  15:00,125,125,125,245.0,306.0,306.0
HOT_SPR1 1x1 DF,2023-01-12  16:00,125,125,125,245.0,306.0,306.0
HOT_SPR1 1x1 DF,2023-01-12  17:00,125,125,125,246.0,307.0,307.0
HOT_SPR1 1x1 DF,2023-01-12  18:00,125,125,125,247.0,307.0,307.0
HOT_SPR1 1x1 DF,2023-01-12  19:00,125,125,125,247.0,306.0,306.0
HOT_SPR1 1x1 DF,2023-01-12  20:00,125,125,125,246.0,306.0,306.0
HOT_SPR1 1x1 DF,2023-01-12  21:00,125,125,125,246.0,305.0,305.0
HOT_SPR1 1x1 DF,2023-01-12  22:00,125,125,125,246.0,305.0,305.0
HOT_SPR1 1x1 DF,2023-01-12  23:00,125,125,125,246.0,305.0,305.0
HOT_SPR1 2x1,2023-01-12  9:00,300,300,300,505.0,505.0,505.0
HOT_SPR1 2x1,2023-01-12  10:00,300,300,300,507.0,507.0,507.0
HOT_SPR1 2x1,2023-01-12  11:00,300,300,300,507.0,507.0,507.0
HOT_SPR1 2x1,2023-01-12  12:00,300,300,300,507.0,507.0,507.0
HOT_SPR1 2x1,2023-01-12  13:00,300,300,300,507.0,507.0,507.0
HOT_SPR1 2x1,2023-01-12  14:00,300,300,300,506.0,506.0,506.0
HOT_SPR1 2x1,2023-01-12  15:00,300,300,300,506.0,506.0,506.0
HOT_SPR1 2x1,2023-01-12  16:00,300,300,300,507.0,507.0,507.0
HOT_SPR1 2x1,2023-01-12  17:00,300,300,300,508.0,508.0,508.0
HOT_SPR1 2x1,2023-01-12  18:00,300,300,300,512.0,512.0,512.0
HOT_SPR1 2x1,2023-01-12  19:00,300,300,300,515.0,515.0,515.0
HOT_SPR1 2x1,2023-01-12  20:00,300,300,300,517.0,517.0,517.0
HOT_SPR1 2x1,2023-01-12  21:00,300,300,300,519.0,519.0,519.0
HOT_SPR1 2x1,2023-01-12  22:00,300,300,300,520.0,520.0,520.0
HOT_SPR1 2x1,2023-01-12  23:00,300,300,300,520.0,520.0,520.0
HOT_SPR1 2x1 DF,2023-01-12  9:00,300,300,300,505.0,614.0,614.0
HOT_SPR1 2x1 DF,2023-01-12  10:00,300,300,300,507.0,617.0,617.0
HOT_SPR1 2x1 DF,2023-01-12  11:00,300,300,300,507.0,617.0,617.0
HOT_SPR1 2x1 DF,2023-01-12  12:00,300,300,300,507.0,617.0,617.0
HOT_SPR1 2x1 DF,2023-01-12  13:00,300,300,300,507.0,617.0,617.0
HOT_SPR1 2x1 DF,2023-01-12  14:00,300,300,300,506.0,615.0,615.0
HOT_SPR1 2x1 DF,2023-01-12  15:00,300,300,300,506.0,615.0,615.0
HOT_SPR1 2x1 DF,2023-01-12  16:00,300,300,300,507.0,617.0,617.0
HOT_SPR1 2x1 DF,2023-01-12  17:00,300,300,300,508.0,618.0,618.0
HOT_SPR1 2x1 DF,2023-01-12  18:00,300,300,300,512.0,620.0,620.0
HOT_SPR1 2x1 DF,2023-01-12  19:00,300,300,300,515.0,620.0,620.0
HOT_SPR1 2x1 DF,2023-01-12  20:00,300,300,300,517.0,620.0,620.0
HOT_SPR1 2x1 DF,2023-01-12  21:00,300,300,300,519.0,620.0,620.0
HOT_SPR1 2x1 DF,2023-01-12  22:00,300,300,300,520.0,620.0,620.0
HOT_SPR1 2x1 DF,2023-01-12  23:00,300,300,300,520.0,620.0,620.0
